ID,Rank (Temp),User,Rank,Score,SS,SSW,Place,Set Win Rate,Game Win Rate,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Color,Color_Alt,Barnacle,Bluefin,Brinewater,Crableg,Eeltail,Flounder,Haggle,Hammerhead,Humpback,Inkblot,Lemuria,Mahi,Mako,Manta,Marlin,Mincemeat,Museum,Robo,Scorch,Shipshape,Sturgeon,Umami,Undertow,Urchin,Wahoo,Sets Played,Tourneys Played
169,67,aurelia,67,44.875,50.8122,25.888,33.33,60,63.64,100,---,50,100,---,---,50,---,---,0,---,100,---,---,---,---,100,---,---,---,---,100,0,---,---,9EE1F5,2AB3D6,1,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1
170,67,KkelVi,67,44.875,50.8122,25.888,33.33,60,63.64,100,---,50,100,---,---,50,---,---,0,---,100,---,---,---,---,100,---,---,---,---,100,0,---,---,9EE1F5,2AB3D6,1,0,2,1,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,5,1
47,69,yannick,69,44.764,58.9465,58.947,100,100,91.67,50,---,---,100,---,---,100,---,---,---,---,100,100,---,---,---,---,---,---,---,---,100,---,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,4,1
48,69,nami,69,44.764,58.9465,58.947,100,100,91.67,50,---,---,100,---,---,100,---,---,---,---,100,100,---,---,---,---,---,---,---,---,100,---,---,---,9EE1F5,2AB3D6,2,0,0,2,0,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,4,1
82,71,Samba4k,71,44.683,70.78591,53.299,38.53375,40,40,25,---,---,50,---,---,0,---,---,33.33,---,33.33,33.33,---,---,---,---,0,---,80,---,40,---,100,---,9EE1F5,2AB3D6,4,0,0,4,0,0,1,0,0,3,0,3,3,0,0,0,0,5,0,5,0,5,0,2,0,15,4
133,72,Toaster,72,43.107,77.15729,59.137,29.16667,33.33,44.44,50,---,---,100,---,---,33.33,---,---,100,---,66.67,0,---,---,---,---,0,---,100,---,0,50,---,---,9EE1F5,2AB3D6,2,0,0,1,0,0,3,0,0,1,0,3,2,0,0,0,0,2,0,1,0,1,2,0,0,6,2
3,73,Aleshiro,73,42.663,65.076,63.833,66.667,66.67,66.67,66.67,---,---,100,---,---,---,---,100,---,---,100,100,---,---,---,---,33.33,---,100,---,25,---,---,---,9EE1F5,2AB3D6,3,0,0,1,0,0,0,0,1,0,0,3,1,0,0,0,0,3,0,2,0,4,0,0,0,6,2
99,74,Atlas,74,42.477,85.7868,84.01,66.67,40,37.5,0,---,---,---,---,---,0,---,---,25,---,100,100,---,---,---,---,50,---,100,---,0,---,---,---,9EE1F5,2AB3D6,2,0,0,0,0,0,3,0,0,4,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,5,1
100,74,Chamo,74,42.477,85.7868,84.01,66.67,40,37.5,0,---,---,---,---,---,0,---,---,25,---,100,100,---,---,---,---,50,---,100,---,0,---,---,---,9EE1F5,2AB3D6,2,0,0,0,0,0,3,0,0,4,0,1,2,0,0,0,0,2,0,1,0,1,0,0,0,5,1
44,76,prosper,76,41.759,58.883,58.883,100,100,88.89,---,---,---,---,---,---,---,---,66.67,---,---,---,100,---,---,---,---,100,---,100,---,100,---,---,---,9EE1F5,2AB3D6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,3,0,0,0,3,1
49,77,josh,77,41.411,62.4364,60.406,83.33,60,50,66.67,---,---,75,---,---,---,---,---,---,---,100,25,---,---,---,---,---,---,100,---,0,---,---,---,9EE1F5,2AB3D6,3,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,0,3,0,0,0,5,1
98,78,blush_,78,41.272,63.198,55.33,55.56,50,55.56,0,---,---,---,---,---,50,---,---,50,---,100,50,---,---,---,---,---,---,---,---,100,---,---,---,9EE1F5,2AB3D6,1,0,0,0,0,0,2,0,0,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,4,1
155,79,Toki,79,41.125,67.4112,45.432,40,40,46.67,33.33,---,---,0,---,---,66.67,---,---,0,---,66.67,100,---,---,---,---,0,---,---,---,---,---,---,---,9EE1F5,2AB3D6,3,0,0,2,0,0,3,0,0,1,0,3,2,0,0,0,0,1,0,0,0,0,0,0,0,5,1
